Store,Constellation,Zarr v,Exists,Openable,Has Var,Time,Y,X,Unit,Min,Max,In Range,Result,Issues
S2 NDVI – Region A,Sentinel-2,3,✅,✅,✅,56,450,475,dimensionless,0.00,0.98,✅,✅ PASS,—
S2 NDVI – Region B,Sentinel-2,3,✅,✅,✅,40,234,261,dimensionless,0.00,0.98,✅,✅ PASS,—
S1 VV – Region A,Sentinel-1,3,✅,✅,✅,207,450,475,uint16 DN,18.00,6194.00,✅,✅ PASS,—
S1 VV – Region B,Sentinel-1,3,✅,✅,✅,239,234,261,uint16 DN,0.00,0.00,✅,❌ FAIL,All sampled values are zero — possible bad write
S3 LST – Region A,Sentinel-3,3,✅,✅,✅,243,100,100,Kelvin,255.00,283.00,✅,✅ PASS,—
S3 LST – Region B,Sentinel-3,3,✅,✅,✅,244,100,100,Kelvin,246.00,283.00,✅,✅ PASS,—
