MMYY,Region A (NDVI),Region B (NDVI)
04-2025,0.21143214,0.39221305
05-2025,0.23765874,0.38247383
06-2025,0.47853455,0.5859589
07-2025,0.75309277,0.7394473
08-2025,0.76019967,0.72602206
09-2025,0.60270184,0.5554127
10-2025,0.3540326,0.3936472
11-2025,0.24635197,0.3566591
