month,Region A (LST °C),Region B (LST °C)
04-2025,25.331617025756884,24.2878310943604
05-2025,25.51377633056643,26.541092095947306
06-2025,,30.368778656005873
07-2025,25.710212008667042,25.93003496398927
08-2025,25.416549020385787,25.516917996215852
09-2025,,22.13837009277347
10-2025,17.24486386718752,16.815780072021482
11-2025,9.909206076049827,9.587593786621142
12-2025,5.902451522827164,5.690564138793945
